,position,company,state,salary,currency,start_sal,end_sal,term
80,Internship for Computer/IT Students,See Hoy Chan Management Services Sdn. Bhd.,Selangor,MYR 0 - 800 monthly,MYR,0,800,monthly
81,Business Development Executive,Modular Scale Sdn Bhd,Shah Alam/Subang,MYR 4K - 5K monthly,MYR,4000,5000,monthly
87,Executive - Accounts,PM Securities Sdn Bhd,Kuala Lumpur,MYR 2.5K - 3K monthly,MYR,2500,3000,monthly
88,Logistics Executive,Jie Communication Sdn Bhd (realme Malaysia）,Petaling Jaya,MYR 2.7K - 2.8K monthly,MYR,2700,2800,monthly
90,Sale Assistant,FLORENTINE SDN. BHD.,Kuala Lumpur,MYR 2.5K - 3K monthly,MYR,2500,3000,monthly
95,Personal Assistant,AEON Co. (M) Bhd.,Kuala Lumpur,MYR 3.5K - 6K monthly,MYR,3500,6000,monthly
96,Japanese speaking Customer Relations Executive Cum Medical Service Staff,WELLBE MALAYSIA SDN. BHD.,Kuala Lumpur,MYR 4K - 6K monthly,MYR,4000,6000,monthly
97,Recruitment Consultant (Based in KL; Singapore Market),Capita Pte Ltd - Healthcare,Central,MYR 3.5K - 5K monthly,MYR,3500,5000,monthly
98,"Executive,Planning",AEL Engineering Sdn Bhd,Perak,MYR 2.8K - 3.9K monthly,MYR,2800,3900,monthly
100,Content Writer,JENSON AGENCY MARKETING,Kuala Lumpur,MYR 2.5K - 4.5K monthly,MYR,2500,4500,monthly
107,Admin Coordinator (Subcontractor),SF METAL SDN BHD,Penang - Others,MYR 1.8K - 2.5K monthly,MYR,1800,2500,monthly
112,Warehouse Operations Executive,Century Motolite Battery Sdn Bhd,Semenyih,MYR 4K - 5.6K monthly,MYR,4000,5600,monthly
115,Human Resource Officer,UPP PULP & PAPER (M) SDN. BHD.,Selangor - Others,MYR 1.8K - 2.5K monthly,MYR,1800,2500,monthly
117,Operation Support Officer (营运专员）,Vitally Sdn Bhd,Puchong,MYR 2.5K - 4K monthly,MYR,2500,4000,monthly
